country,state,city,utc,parameter,value,unit,latitude,longitude,attribution
US,Alabama,Montgomery,2018-10-02T21:00:00Z,pm25,6,µg/m,35.263165,-79.836636,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""North Carolina DEQ - Division of Air Quality""}]"
US,Alabama,Montgomery,2019-10-01T12:00:00Z,pm25,13,µg/m,35.263165,-79.836636,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""North Carolina DEQ - Division of Air Quality""}]"
US,Alabama,Montgomery,2020-10-01T19:00:00Z,pm25,7,µg/m,35.263165,-79.836636,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""North Carolina DEQ - Division of Air Quality""}]"
US,Arizona,Phoenix,2018-10-02T19:00:00Z,pm25,4.5,µg/m,33.4033,-112.0731,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maricopa County"
US,Arizona,Phoenix,2019-10-02T03:00:00Z,pm25,6.5,µg/m,33.4033,-112.0731,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maricopa County"
US,Arizona,Phoenix,2020-10-02T02:00:00Z,pm25,12.7,µg/m,33.4033,-112.0731,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Maricopa County"
US,Arkansas,Little Rock,2018-10-03T11:00:00Z,pm25,7.8,µg/m,34.6811,-92.3283,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Arkansas"
US,Arkansas,Little Rock,2019-10-02T14:00:00Z,pm25,10.8,µg/m,34.6811,-92.3283,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Arkansas"
US,Arkansas,Little Rock,2020-10-02T02:00:00Z,pm25,7.1,µg/m,34.6811,-92.3283,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Arkansas"
US,California,Los Angeles,2018-10-03T04:00:00Z,pm25,7.8,µg/m,33.830586,-117.938509,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""South Coast"
